================================================================================
AMORTIZATION SCHEDULE: LOAN LN-2024-001  BORROWER: John Smith
Original Amount: 500000.00  Rate: 6.500000%  Term: 360 months
--------------------------------------------------------------------------------
PMT#  PAYMENT     INTEREST    PRINCIPAL   ESCROW      BALANCE     CUMUL-INT
--------------------------------------------------------------------------------
1 3200.00 270833 -267633 400.00 767633 270833
2 3200.00 415801 -412601 400.00 1180234 686634
3 3200.00 639293 -636093 400.00 1816327 1325927
4 3200.00 983844 -980644 400.00 2796971 2309771
5 3200.00 1515026 -1511826 400.00 4308797 3824797
6 3200.00 2333932 -2330732 400.00 6639529 6158729
7 3200.00 3596412 -3593212 400.00 10232741 9755141
8 3200.00 5542735 -5539535 400.00 15772276 15297876
9 3200.00 8543316 -8540116 400.00 24312392 23841192
10 3200.00 13169212 -13166012 400.00 37478404 37010404
11 3200.00 20300802 -20297602 400.00 57776006 57311206
12 3200.00 31295337 -31292137 400.00 89068143 88606543
13 3200.00 48245244 -48242044 400.00 137310187 136851787
14 3200.00 74376351 -74373151 400.00 211683338 211228138
15 3200.00 114661808 -114658608 400.00 326341946 325889946
16 3200.00 176768554 -176765354 400.00 503107300 502658500
17 3200.00 272516454 -272513254 400.00 775620554 775174954
18 3200.00 420127800 -420124600 400.00 1195745154 1195302754
19 3200.00 647695292 -647692092 400.00 1843437246 1842998046
20 3200.00 998528508 -998525308 400.00 2841962554 2841526554
21 3200.00 1539396383 -1539393183 400.00 4381355737 4380922937
22 3200.00 2373234358 -2373231158 400.00 6754586895 6754157295
23 3200.00 3658734568 -3658731368 400.00 10413318263 10412891863
24 3200.00 5640547392 -5640544192 400.00 16053862455 16053439255
25 3200.00 8695842163 -8695838963 400.00 24749701418 24749281418
26 3200.00 13406088268 -13406085068 400.00 38155786486 38155369686
27 3200.00 20667717680 -20667714480 400.00 58823500966 58823087366
28 3200.00 31862729690 -31862726490 400.00 90686227456 90685817056
29 3200.00 49121706539 -49121703339 400.00 139807930795 139807523595
30 3200.00 75729295847 -75729292647 400.00 215537223442 215536819442
31 3200.00 116749329364 -116749326164 400.00 332286549606 332286148806
32 3200.00 179988547703 -179988544503 400.00 512275094109 512274696509
33 3200.00 277482342642 -277482339442 400.00 789757433551 789757039151
34 3200.00 427785276507 -427785273307 400.00 1217542706858 1217542315658
35 3200.00 659502299548 -659502296348 400.00 1877045003206 1877044615206
36 3200.00 1016732710070 -1016732706870 400.00 2893777710076 2893777325276
37 3200.00 1567462926291 -1567462923091 400.00 4461240633167 4461240251567
38 3200.00 2416505342965 -2416505339765 400.00 6877745972932 6877745594532
39 3200.00 3725445735338 -3725445732138 400.00 10603191705070 10603191329870
40 3200.00 5743395506913 -5743395503713 400.00 16346587208783 16346586836783
41 3200.00 8854401404757 -8854401401557 400.00 25200988610340 25200988241540
42 3200.00 13650535497268 -13650535494068 400.00 38851524104408 38851523738808
43 3200.00 21044575556554 -21044575553354 400.00 59896099657762 59896099295362
44 3200.00 32443720647954 -32443720644754 400.00 92339820302516 92339819943316
45 3200.00 50017402663863 -50017402660663 400.00 142357222963179 142357222607179
46 3200.00 77110162438389 -77110162435189 400.00 219467385398368 219467385045568
47 3200.00 118878167090783 -118878167087583 400.00 338345552485951 338345552136351
48 3200.00 183270507596557 -183270507593357 400.00 521616060079308 521616059732908
49 3200.00 282542032542959 -282542032539759 400.00 804158092619067 804158092275867
50 3200.00 435585633501995 -435585633498795 400.00 1239743726117862 1239743725777862
51 3200.00 671527851647175 -671527851643975 400.00 1911271577761837 1911271577425037
52 3200.00 1035272104620995 -1035272104617795 400.00 2946543682379632 2946543682046032
53 3200.00 1596044494622301 -1596044494619101 400.00 4542588176998733 4542588176668333
54 3200.00 2460568595874314 -2460568595871114 400.00 7003156772869847 7003156772542647
55 3200.00 3793376585304500 -3793376585301300 400.00 10796533358171148 10796533357847148
56 3200.00 5848122235676038 -5848122235672838 400.00 16644655593843986 16644655593523186
57 3200.00 9015855113332158 -9015855113328958 400.00 25660510707172944 25660510706855344
58 3200.00 13899443299718678 -13899443299715478 400.00 39559954006888424 39559954006574024
59 3200.00 21428308420397896 -21428308420394696 400.00 60988262427283120 60988262426971920
60 3200.00 33035308814778356 -33035308814775156 400.00 94023571242058270 94023571241750270
61 3200.00 50929434422781560 -50929434422778360 400.00 144953005664836640 144953005664531840
62 3200.00 78516211401786510 -78516211401783310 400.00 223469217066619970 223469217066318340
63 3200.00 121045825911085810 -121045825911082610 400.00 344515042977702600 344515042977404160
64 3200.00 186612314946255550 -186612314946252350 400.00 531127357923954940 531127357923659700
65 3200.00 287693985542142240 -287693985542139040 400.00 818821343466094000 818821343465802000
66 3200.00 443528227710800830 -443528227710797630 400.00 1262349571176891600 1262349571176603000
67 3200.00 683772684387482900 -683772684387479700 400.00 1946122255564371500 1946122255564085800
68 3200.00 1054149555097367800 -1054149555097364600 400.00 3000271810661736000 3000271810661454000
69 3200.00 1625147230775106800 -1625147230775103500 400.00 4625419041436840000 4625419041436560000
70 3200.00 2505435314111621600 -2505435314111618600 400.00 7130854355548459000 7130854355548183000
71 3200.00 3862546109255415000 -3862546109255411700 400.00 10993400464803870000 10993400464803598000
72 3200.00 5954758585102096000 -5954758585102093000 400.00 16948159049905963000 16948159049905695000
73 3200.00 9180252818699062000 -9180252818699059000 400.00 26128411868605022000 26128411868604756000
74 3200.00 14152889762161054000 -14152889762161050000 400.00 40281301630766070000 40281301630765810000
75 3200.00 21819038383331620000 -21819038383331615000 400.00 62100340014097690000 62100340014097430000
76 3200.00 33637684174302913000 -33637684174302910000 400.00 95738024188400600000 95738024188400340000
77 3200.00 51858096435383660000 -51858096435383660000 400.00 147596120623784260000 147596120623784000000
78 3200.00 79947898671216480000 -79947898671216480000 400.00 227544019295000720000 227544019295000460000
79 3200.00 123253010451458720000 -123253010451458720000 400.00 350797029746459400000 350797029746459150000
80 3200.00 190015057779332150000 -190015057779332150000 400.00 540812087525791560000 540812087525791300000
81 3200.00 292939880743137080000 -292939880743137080000 400.00 833751968268928700000 833751968268928400000
82 3200.00 451615649479003000000 -451615649479003000000 400.00 1285367617747931600000 1285367617747931400000
83 3200.00 696240792946796300000 -696240792946796300000 400.00 1981608410694727800000 1981608410694727800000
84 3200.00 1073371222459644100000 -1073371222459644100000 400.00 3054979633154372000000 3054979633154372000000
85 3200.00 1654780634625284800000 -1654780634625284800000 400.00 4709760267779656600000 4709760267779656600000
86 3200.00 2551120145047314000000 -2551120145047314000000 400.00 7260880412826971000000 7260880412826971000000
87 3200.00 3932976890281275700000 -3932976890281275700000 400.00 11193857303108246000000 11193857303108246000000
88 3200.00 6063339372516967000000 -6063339372516967000000 400.00 17257196675625212000000 17257196675625212000000
89 3200.00 9347648199296989000000 -9347648199296989000000 400.00 26604844874922200000000 26604844874922200000000
90 3200.00 14410957640582857000000 -14410957640582857000000 400.00 41015802515505054000000 41015802515505054000000
91 3200.00 22216893029231903000000 -22216893029231903000000 400.00 63232695544736960000000 63232695544736960000000
92 3200.00 34251043420065850000000 -34251043420065850000000 400.00 97483738964802820000000 97483738964802820000000
93 3200.00 52803691939268190000000 -52803691939268190000000 400.00 150287430904071020000000 150287430904071020000000
94 3200.00 81405691739705130000000 -81405691739705130000000 400.00 231693122643776160000000 231693122643776160000000
95 3200.00 125500441432045420000000 -125500441432045420000000 400.00 357193564075821600000000 357193564075821600000000
96 3200.00 193479847207736670000000 -193479847207736670000000 400.00 550673411283558200000000 550673411283558200000000
97 3200.00 298281431111927360000000 -298281431111927360000000 400.00 848954842395485700000000 848954842395485700000000
98 3200.00 459850539630888100000000 -459850539630888100000000 400.00 1308805382026373700000000 1308805382026373700000000
99 3200.00 708936248597619000000000 -708936248597619000000000 400.00 2017741630623992700000000 2017741630623992700000000
100 3200.00 1092943383254662700000000 -1092943383254662700000000 400.00 3110685013878655500000000 3110685013878655500000000
101 3200.00 1684954382517605000000000 -1684954382517605000000000 400.00 4795639396396261000000000 4795639396396261000000000
102 3200.00 2597638006381308000000000 -2597638006381308000000000 400.00 7393277402777569000000000 7393277402777569000000000
103 3200.00 4004691926504516500000000 -4004691926504516500000000 400.00 11397969329282087000000000 11397969329282087000000000
